DEBUG 2023-06-18 18:14:48.043 UTC: 	 CRAB Client version: v3.230417
DEBUG 2023-06-18 18:14:48.044 UTC: 	 Running on: Linux lxplus7113.cern.ch 3.10.0-1160.90.1.el7.x86_64 #1 SMP Thu May 4 15:21:22 UTC 2023 x86_64 x86_64 x86_64 GNU/Linux - CentOS Linux 7 (Core)
DEBUG 2023-06-18 18:14:48.044 UTC: 	 Executing command: 'submit'
DEBUG 2023-06-18 18:14:48.044 UTC: 	 Found CRAB cache file /afs/cern.ch/user/z/zhenxuan/.crab3
DEBUG 2023-06-18 18:14:48.047 UTC: 	 Will use CRAB Analysis plugin (i.e. will run an analysis job type).
DEBUG 2023-06-18 18:14:48.091 UTC: 	 CRAB Client version: v3.230417
DEBUG 2023-06-18 18:14:48.092 UTC: 	 Running on: Linux lxplus7113.cern.ch 3.10.0-1160.90.1.el7.x86_64 #1 SMP Thu May 4 15:21:22 UTC 2023 x86_64 x86_64 x86_64 GNU/Linux - CentOS Linux 7 (Core)
DEBUG 2023-06-18 18:14:48.092 UTC: 	 Executing command: 'submit'
DEBUG 2023-06-18 18:14:48.092 UTC: 	 Found CRAB cache file /afs/cern.ch/user/z/zhenxuan/.crab3
DEBUG 2023-06-18 18:14:48.093 UTC: 	 Will use CRAB Analysis plugin (i.e. will run an analysis job type).
DEBUG 2023-06-18 18:14:48.129 UTC: 	 CRAB Client version: v3.230417
DEBUG 2023-06-18 18:14:48.130 UTC: 	 Running on: Linux lxplus7113.cern.ch 3.10.0-1160.90.1.el7.x86_64 #1 SMP Thu May 4 15:21:22 UTC 2023 x86_64 x86_64 x86_64 GNU/Linux - CentOS Linux 7 (Core)
DEBUG 2023-06-18 18:14:48.130 UTC: 	 Executing command: 'submit'
DEBUG 2023-06-18 18:14:48.130 UTC: 	 Found CRAB cache file /afs/cern.ch/user/z/zhenxuan/.crab3
DEBUG 2023-06-18 18:14:48.131 UTC: 	 Will use CRAB Analysis plugin (i.e. will run an analysis job type).
